"city","VVD","PvdA","PVV","SP","CDA","D66","CU","GrLinks","SGP","PvdD","50+"
"Aa en Hunze","28.9","37.1","6","8","5.2","7.2","1.4","2.1","0.3","1.8","1.2"
"Aalburg","23.4","8.7","11","5.4","11.2","2.4","11.2","0.6","23.1","1.3","1.4"
"Aalsmeer","45.7","15","9.1","4.1","8.5","7.5","3.6","1.2","0.8","1.7","2"
"Aalten","21.9","23.5","7.4","12.1","19.3","5.6","4.5","1.6","0.6","1.2","1.7"
"Achtkarspelen","14.9","29.6","9.4","8.7","17.7","2.8","11.6","0.9","1.7","1.1","0.9"
"Alblasserdam","20","21.8","9.7","6.4","8.4","3.8","9.2","0.9","16","1.4","1.8"
"Albrandswaard","37.3","18.4","13.6","6.5","7.3","6.5","2.4","1.3","1.4","2.2","2"
"Alkmaar","23.9","30.2","8.8","11.4","5.7","8.7","1.3","3.2","0.1","2.8","2.4"
"Almelo","21.8","29.1","12.6","11.3","9.9","5.8","3.2","1.4","0.5","1.5","1.9"
"Almere","28.4","28.3","13.8","9.4","2.7","6.4","1.9","2.6","0.4","2.4","2.4"
"Alphen aan den Rijn","32.8","21.9","9.3","7.3","7.8","8.7","4","2.1","1.5","2","1.9"
"Alphen-Chaam","38.5","15.8","8.3","9.4","15","6.6","0.3","1.4","0.1","1.4","2.2"
"Ameland","29.7","25.6","6.1","7.6","15.4","6.9","2.1","2.3","0.4","1.5","1.4"
"Amersfoort","26.7","25.6","7.3","8.1","6.5","10.4","6.1","3.7","1.1","2","1.6"
"Amstelveen","35.2","23.5","7","6.4","5.5","12.6","1.4","2.6","0.3","2.4","2.2"
"Amsterdam","19.4","35.9","6.1","9.2","2.2","15.1","0.8","5.4","0.1","3.1","1.3"
"Apeldoorn","26.2","26.4","8.2","8.5","8.5","8.1","4.2","2.1","3.2","1.9","1.8"
"Appingedam","14.8","39.8","9.2","13","9.4","4.1","4.2","1.3","0.3","1.5","1.6"
"Arnhem","19.9","31.4","8.9","12.8","5","10.5","1.9","4","0.3","2.7","1.6"
"Assen","19.3","35.6","6.4","10.1","7.3","6.7","8","2.2","0.8","1.6","1.1"
"Asten","33.2","16.6","10","12.8","14.2","7","0.3","1.4","0.1","1.1","2.4"
"Baarle-Nassau","33.8","15.4","11.9","10.5","14.9","5.5","0.7","1.4","0.1","1.9","3.1"
"Baarn","35.4","19.8","7.7","5.9","7.7","10.8","3.7","2.9","1.2","2.2","1.7"
"Barendrecht","33.4","19.3","12.7","6.1","7.7","6.4","3.6","1.5","4.6","2.1","2.1"
"Barneveld","27.6","8.3","7.6","3.6","14.4","3","10.7","0.8","21.7","0.8","1.2"
"Bedum","15.8","29","4.9","9.2","15.8","5.6","12.5","2.6","1.4","1.5","1"
"Beek","24.4","21.3","17.8","12.4","10.4","6.9","0.4","1.5","0.1","1.7","2.3"
"Beemster","44.4","19.8","7.5","6.3","8.1","7.5","0.5","2","0.2","1.8","1.3"
"Beesel","23.6","20.9","20.2","12.8","10.7","5.3","0.3","1.4","0.1","1.4","2.5"
"Bellingwedde","18.1","38.1","11.3","14.4","4.4","4","2.6","1.4","0.5","2.7","1.4"
"Bergambacht","32","18.2","7.9","4.7","8.4","5.1","5.9","0.9","13.3","1.5","1.5"
"Bergeijk","31.6","15.7","11","12.8","16.9","5.8","0.4","1.1","0.1","1.3","2.4"
"Bergen (L.)","24.3","16.6","15.6","21","12.5","4.6","0.3","1.2","0.1","1.1","2.2"
"Bergen (NH.)","35.7","22.1","7.9","6.8","7.5","9.8","0.7","2.9","0.1","3","2.3"
"Bergen op Zoom","28","24.5","14.1","11.4","6.7","7.5","0.8","1.6","0.2","1.9","2.6"
"Berkelland","27.8","27.6","7.2","10.6","13.5","6.7","1.2","1.4","0.2","1.2","1.8"
"Bernheze","31.7","17.2","8.5","16.5","13.8","7","0.3","1.3","0.1","1","1.8"
"Bernisse","34.8","18.6","14.2","7.3","9.5","5","3.3","1.3","1.2","1.7","2.2"
"Best","32.4","20.1","9.3","11.8","9.3","7.6","1.6","1.4","0.2","1.3","4"
"Beuningen","29.2","24.8","10.4","14.4","7.4","7.3","0.6","1.5","0.1","1.5","2.1"
"Beverwijk","27","26.8","13.3","9.7","5.8","7","0.9","2.2","0.2","2.6","3.2"
"Binnenmaas","31.1","20","11.4","6.7","9.2","5.2","4.5","1.2","6.3","2","1.5"
"Bladel","31.5","17.3","10.3","15","13.4","6","0.3","1.3","0","1.2","2.8"
"Blaricum","49","16.6","5.9","5.4","6.5","9.2","1.1","1.2","0.4","2","2"
"Bloemendaal","46.3","16.3","4","3.5","7.6","14.2","1","2.7","0.2","2.1","1.3"
"Boarnsterhim","25.5","38.6","5.3","8.2","9.2","6.5","1.4","1.8","0.3","1.3","1.1"
"Bodegraven-Reeuwijk","36","13.7","8.2","4.3","12","6.3","6.3","1.7","8","1.4","1.5"
"Boekel","30.8","14.8","9.7","17","16","5.8","0.3","1.1","0.1","1.3","2.4"
