"Table 2a: Estimated population of settlements by broad age groups, mid-2012",,,,,,,,
,,,,,,,,
Settlement Name,Settlement Code,All Ages,Age Group,,,,,
,,,Under 16,16 to 64,65 & Over,,,
Aberchirder,S20000503," 1,250 ", 218 , 773 , 259 ,,,
Aberdeen,S20000504," 209,460 "," 29,730 "," 149,043 "," 30,687 ",,,
Aberdour,S20000505," 1,650 ", 307 ," 1,011 ", 332 ,,,
Aberfeldy,S20000506," 1,960 ", 331 ," 1,161 ", 468 ,,,
Aberfoyle,S20000507, 750 , 118 , 493 , 139 ,,,
Aberlady,S20000508," 1,180 ", 246 , 692 , 242 ,,,
Aberlour,S20000509," 1,120 ", 188 , 614 , 318 ,,,
Abernethy,S20000510," 1,470 ", 312 , 932 , 226 ,,,
Aboyne,S20000511," 2,650 ", 460 ," 1,589 ", 601 ,,,
Airth,S20000512," 1,760 ", 323 ," 1,096 ", 341 ,,,
Alford,S20000513," 2,290 ", 436 ," 1,380 ", 474 ,,,
Allanton,S20000514," 1,180 ", 195 , 770 , 215 ,,,
Alloa,S20000515," 20,390 "," 3,717 "," 13,278 "," 3,395 ",,,
Almondbank,S20000516," 1,420 ", 229 , 889 , 302 ,,,
Alness,S20000517," 5,700 "," 1,150 "," 3,595 ", 955 ,,,
Alva,S20000518," 4,720 ", 715 ," 3,085 ", 920 ,,,
Alyth,S20000519," 2,410 ", 376 ," 1,411 ", 623 ,,,
Annan,S20000520," 8,920 "," 1,607 "," 5,427 "," 1,886 ",,,
Annbank,S20000521, 890 , 140 , 583 , 167 ,,,
Anstruther and Pittenweem,S20000522," 4,910 ", 743 ," 2,976 "," 1,191 ",,,
Arbroath,S20000523," 23,640 "," 4,197 "," 14,723 "," 4,720 ",,,
Ardersier,S20000524," 1,110 ", 217 , 708 , 185 ,,,
Ardrishaig,S20000525," 1,320 ", 233 , 773 , 314 ,,,
Ardrossan,S20000526," 33,020 "," 6,016 "," 21,088 "," 5,916 ",,,
Armadale,S20000527," 11,770 "," 2,460 "," 7,498 "," 1,812 ",,,
Auchenblae,S20000528, 540 , 120 , 350 , 70 ,,,
Auchinleck,S20000529," 3,760 ", 664 ," 2,373 ", 723 ,,,
Auchinloch,S20000530, 750 , 104 , 481 , 165 ,,,
Auchterarder,S20000531," 4,620 ", 701 ," 2,722 "," 1,197 ",,,
Auchtermuchty,S20000532," 2,120 ", 369 ," 1,299 ", 452 ,,,
Auldearn,S20000533, 660 , 123 , 419 , 118 ,,,
Aviemore,S20000534," 3,150 ", 562 ," 2,128 ", 460 ,,,
Avoch,S20000535, 990 , 163 , 601 , 226 ,,,
Avonbridge,S20000536, 690 , 134 , 457 , 99 ,,,
Ayr,S20000537," 62,870 "," 9,934 "," 38,643 "," 14,293 ",,,
Ayton,S20000538, 560 , 79 , 334 , 147 ,,,
