Table 1a: All settlements by locality and Council area (sorted alphabetically by settlement),,,,,,
,,,,,,
"Settlement name1, 2",Settlement code,Locality name1,Locality code,Council area name,Council area code,
Aberchirder,S20000503,Aberchirder,S19000630,Aberdeenshire,S12000034,
"Aberdeen, Settlement of",S20000504,Aberdeen,S19000631,Aberdeen City,S12000033,
"Aberdeen, Settlement of",S20000504,Cove Bay,S19000781,Aberdeen City,S12000033,
"Aberdeen, Settlement of",S20000504,Dyce,S19000844,Aberdeen City,S12000033,
Aberdour,S20000505,Aberdour,S19000632,Fife,S12000015,
Aberfeldy,S20000506,Aberfeldy,S19000633,Perth & Kinross,S12000024,
Aberfoyle,S20000507,Aberfoyle,S19000634,Stirling,S12000030,
Aberlady,S20000508,Aberlady,S19000635,East Lothian,S12000010,
Aberlour,S20000509,Aberlour,S19000636,Moray,S12000020,
Abernethy,S20000510,Abernethy,S19000637,Perth & Kinross,S12000024,
Aboyne,S20000511,Aboyne,S19000638,Aberdeenshire,S12000034,
Airth,S20000512,Airth,S19000641,Falkirk,S12000014,
Alford,S20000513,Alford,S19000643,Aberdeenshire,S12000034,
Allanton,S20000514,Allanton,S19000644,North Lanarkshire,S12000044,
Alloa,S20000515,Alloa,S19000645,Clackmannanshire,S12000005,
Almondbank,S20000516,Almondbank,S19000646,Perth & Kinross,S12000024,
Alness,S20000517,Alness,S19000647,Highland,S12000017,
Alva,S20000518,Alva,S19000648,Clackmannanshire,S12000005,
Alyth,S20000519,Alyth,S19000649,Perth & Kinross,S12000024,
Annan,S20000520,Annan,S19000650,Dumfries & Galloway,S12000006,
Annbank,S20000521,Annbank,S19000651,South Ayrshire,S12000028,
Anstruther and Pittenweem,S20000522,Anstruther,S19000652,Fife,S12000015,
Anstruther and Pittenweem,S20000522,Pittenweem,S19001128,Fife,S12000015,
Arbroath,S20000523,Arbroath,S19000653,Angus,S12000041,
Ardersier,S20000524,Ardersier,S19000654,Highland,S12000017,
Ardrishaig,S20000525,Ardrishaig,S19000655,Argyll & Bute,S12000035,
"Ardrossan, Settlement of",S20000526,Ardrossan,S19000656,North Ayrshire,S12000021,
"Ardrossan, Settlement of",S20000526,Saltcoats,S19001169,North Ayrshire,S12000021,
"Ardrossan, Settlement of",S20000526,Stevenston,S19001199,North Ayrshire,S12000021,
Armadale,S20000527,Armadale,S19000657,West Lothian,S12000040,
Auchenblae,S20000528,Auchenblae,S19000659,Aberdeenshire,S12000034,
